"state","State_name","Population","date","category","count","grade"
"AL","Alabama *",4903185,2020-04-12,"posNeg",21583,"B"
"AR","Arkansas ",3017804,2020-04-12,"posNeg",19722,"A"
"AZ","Arizona *",7278717,2020-04-12,"posNeg",42109,"B"
"CA","California *",39512223,2020-04-12,"posNeg",190328,"B"
"CO","Colorado ",5758736,2020-04-12,"posNeg",34873,"A"
"CT","Connecticut ",3565287,2020-04-12,"posNeg",41220,"A"
"DC","District of Columbia ",705749,2020-04-12,"posNeg",10640,"A"
"DE","Delaware ",973764,2020-04-12,"posNeg",11103,"A"
"FL","Florida ",21477737,2020-04-12,"posNeg",182753,"A"
"GA","Georgia ",10617423,2020-04-12,"posNeg",54453,"A"
"HI","Hawaii ",1415872,2020-04-12,"posNeg",17968,"A"
"IA","Iowa ",3155070,2020-04-12,"posNeg",17592,"A"
"ID","Idaho ",1787065,2020-04-12,"posNeg",14308,"A"
"IL","Illinois ",16980127,2020-04-12,"posNeg",100735,"A"
"IN","Indiana *",6732219,2020-04-12,"posNeg",42489,"B"
"KS","Kansas *",2913314,2020-04-12,"posNeg",13253,"B"
"KY","Kentucky ",4467673,2020-04-12,"posNeg",24567,"A"
"LA","Louisiana ",4648794,2020-04-12,"posNeg",104045,"A"
"MA","Massachusetts *",6892503,2020-04-12,"posNeg",116730,"B"
"MD","Maryland ",6045680,2020-04-12,"posNeg",49764,"A"
"ME","Maine ",1344212,2020-04-12,"posNeg",6721,"A"
"MI","Michigan *",9986857,2020-04-12,"posNeg",79437,"B"
"MN","Minnesota ",5639632,2020-04-12,"posNeg",37421,"A"
"MO","Missouri ",6840439,2020-04-12,"posNeg",45200,"A"
"MS","Mississippi ",2976149,2020-04-12,"posNeg",21413,"A"
"MT","Montana ",1068778,2020-04-12,"posNeg",8913,"A"
"NC","North Carolina ",10488084,2020-04-12,"posNeg",62139,"A"
"ND","North Dakota *",762062,2020-04-12,"posNeg",10350,"B"
"NE","Nebraska ",1934408,2020-04-12,"posNeg",10691,"A"
"NH","New Hampshire *",1359711,2020-04-12,"posNeg",10925,"B"
"NJ","New Jersey ",8882190,2020-04-12,"posNeg",126735,"A"
"NM","New Mexico ",2096829,2020-04-12,"posNeg",28692,"A"
"NV","Nevada ",3080156,2020-04-12,"posNeg",24611,"A"
"NY","New York ",19453561,2020-04-12,"posNeg",461601,"A"
"OH","Ohio *",11689100,2020-04-12,"posNeg",63243,"B"
"OK","Oklahoma *",3956971,2020-04-12,"posNeg",22760,"B"
"OR","Oregon ",4217737,2020-04-12,"posNeg",29758,"A"
"PA","Pennsylvania ",12801989,2020-04-12,"posNeg",124890,"A"
"PR","Puerto Rico ",2933408,2020-04-12,"posNeg",6716,"A"
"RI","Rhode Island *",1059361,2020-04-12,"posNeg",20350,"B"
"SC","South Carolina *",5148714,2020-04-12,"posNeg",31425,"B"
"SD","South Dakota ",884659,2020-04-12,"posNeg",8553,"A"
"TN","Tennessee ",6829174,2020-04-12,"posNeg",70677,"A"
"TX","Texas ",28995881,2020-04-12,"posNeg",124533,"A"
"UT","Utah ",3205958,2020-04-12,"posNeg",44234,"A"
